City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
4,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
10,Faanui,PF,76.73,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
12,Bac Lieu,VN,79.45,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
14,Hambantota,LK,78.73,scattered clouds,6.1241,81.1185,Bungalow 63
20,Broome,US,78.15,scattered clouds,42.2506,-75.833,Chenango Valley State Park
22,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
24,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
26,Rive-De-Gier,FR,82.33,clear sky,45.5307,4.6213,B&B Ebeniste
31,Wanning,CN,81.9,overcast clouds,18.8003,110.3967,Paradise Hotel
38,Kavieng,PG,82.29,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
39,Ierapetra,GR,82.15,clear sky,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
42,Nara,JP,79.5,light rain,34.6851,135.8049,Guesthouse Nara Komachi
50,Nanning,CN,82.85,overcast clouds,22.8167,108.3167,Nanning Travelling With Hostel
53,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
55,Guerrero Negro,MX,83.23,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
56,Najran,SA,88.45,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
58,Sibolga,ID,77.13,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
61,Barahona,DO,89.42,few clouds,18.2085,-71.1008,Hotel Caribe
62,Meulaboh,ID,75.61,overcast clouds,4.1363,96.1285,Kost Pria
64,Bethel,US,78.89,heavy intensity rain,41.3712,-73.414,Courtyard by Marriott Danbury
67,Mizdah,LY,78.37,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
70,Kapaa,US,82.72,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
73,Nichinan,JP,80.58,light rain,31.6,131.3667,Guest House Aki
85,Butaritari,KI,82.35,clear sky,3.0707,172.7902,Isles Sunset Lodge
88,San Antonio Ilotenango,GT,77.11,broken clouds,15.0547,-91.2297,"Servicio de taxi San Antonio Ilotenango, QUICHE"
90,Akyab,MM,81.91,overcast clouds,20.15,92.9,Hotel Memory
91,Atuona,PF,77.29,scattered clouds,-9.8,-139.0333,Villa Enata
98,Aksu,CN,80.15,clear sky,41.1231,80.2644,Pudong Holiday Hotel
101,Lethem,GY,83.39,overcast clouds,3.3803,-59.7968,Savannah Inn
104,Diamantino,BR,87.49,clear sky,-14.4086,-56.4461,Hotel Delta
109,Padang,ID,76.44,few clouds,-0.9492,100.3543,Mercure Padang
121,Cody,US,89.4,clear sky,44.5263,-109.0565,"Holiday Inn Cody-at Buffalo Bill Village, an IHG Hotel"
122,Chalons-En-Champagne,FR,81.63,clear sky,48.9539,4.3672,Hotel D'Angleterre
123,Andros Town,BS,89.56,overcast clouds,24.7,-77.7667,Hanks place
133,Buala,SB,81.61,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
135,Acapulco,MX,85.82,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
136,Barmer,IN,86.2,overcast clouds,25.75,71.3833,Jain Dharamshala
139,Kieta,PG,79.36,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
143,Mecca,SA,89.19,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
149,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel
152,San Quintin,MX,76.1,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
153,Torbay,CA,75.76,broken clouds,47.6666,-52.7314,Gallows Cove
154,Bengkulu,ID,75.36,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
158,Mitsamiouli,KM,75.76,broken clouds,-11.3847,43.2844,Foyer ADM
161,Loughborough,GB,87.75,clear sky,52.7667,-1.2,Burleigh Court Conference Centre and Hotel
166,Gigmoto,PH,79.52,scattered clouds,13.7796,124.39,Cj's Travellers Inn
169,Manokwari,ID,78.15,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
171,Brigantine,US,86.2,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
174,Itoman,JP,84.58,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
176,Puri,IN,81.12,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
177,Celestun,MX,84.52,scattered clouds,20.8667,-90.4,Posada Lilia
178,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
182,Fort Nelson,CA,76.59,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
183,Chateau-Gontier,FR,87.96,clear sky,47.8333,-0.7,Logis Parc Hôtel & Spa
184,Pattani,TH,76.71,overcast clouds,6.75,100.4167,ผักปลอดสารพิษ
189,Vitry-Le-Francois,FR,81.46,clear sky,48.7333,4.5833,Hôtel Tambourin
191,Ternate,ID,77.94,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
195,Paungde,MM,77.54,light rain,18.4833,95.5,Shwe Eain Matt highly cool guest house
199,Saint-Francois,FR,76.68,clear sky,46.4154,3.9054,Manoir Du Bonheur
202,Pedasi,PA,86.07,broken clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
203,Labuhan,ID,75.61,overcast clouds,-6.8844,112.2051,DoubleFAG
205,Kirksville,US,89.82,scattered clouds,40.1948,-92.5833,Budget Host-Village Inn
206,Roma,US,78.69,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
209,Bubaque,GW,79.36,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
212,Sao Filipe,CV,75.76,few clouds,14.8961,-24.4956,Hotel Xaguate
214,Hasaki,JP,81.0,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
215,Samarai,PG,79.45,few clouds,-10.6167,150.6667,Nuli Sapi
219,El Viejo,NI,89.82,scattered clouds,12.6633,-87.1672,Hoteles
222,Lasa,IT,76.08,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
223,Florence,IT,89.28,clear sky,43.7667,11.25,Hotel Nuova Italia
224,Giulianova,IT,76.75,clear sky,42.7612,13.9537,Hotel Smeraldo
231,Kijang,KR,76.73,broken clouds,35.2442,129.2139,Samyang Beach Villa
235,Tomatlan,MX,88.65,overcast clouds,19.9333,-105.25,El Salvial
238,Port Moresby,PG,75.11,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
243,Hamilton,US,84.99,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
249,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
252,Malabo,GQ,76.86,few clouds,3.75,8.7833,Magno Suites Exclusive Hotel & Restaurant
253,Matara,LK,79.27,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
254,Kutum,SD,83.41,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
263,Darnah,LY,78.08,clear sky,32.767,22.6367,فندق الفردوس
264,Tanabe,JP,79.2,heavy intensity rain,33.7333,135.3667,美吉屋旅館
269,Chapada Dos Guimaraes,BR,78.46,broken clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
275,Mahibadhoo,MV,81.97,overcast clouds,3.7833,72.9667,Omadhoo Inn
276,Dingle,PH,75.42,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
279,Muli,MV,82.02,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
280,Hinjilikatu,IN,81.72,overcast clouds,19.4833,84.75,Hotel sunil
286,Hami,CN,76.35,overcast clouds,42.8,93.45,Laoyutang Resort
289,Wajir,KE,75.33,broken clouds,1.7471,40.0573,Mahatallah Hotel
296,Moose Factory,CA,78.8,scattered clouds,51.2585,-80.6094,Cree Village Eco Lodge
297,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
301,Varda,GR,82.31,few clouds,38.0333,21.3667,Royal Club Hotel
306,Ciudad Bolivar,VE,86.72,overcast clouds,8.1222,-63.5497,Hotel Edi
307,Parrsboro,CA,82.96,broken clouds,45.4001,-64.332,Gillespie House Inn
309,Palma Del Rio,ES,89.92,clear sky,37.7002,-5.2812,Hotel Monasterio de San Francisco
317,Barra,BR,81.7,few clouds,-11.0894,-43.1417,Pousada Bahia
319,Pandan,PH,78.98,clear sky,14.0453,124.1694,Bonifacio Lodge
320,Coahuayana,MX,88.97,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
321,Hay River,CA,75.16,broken clouds,60.8156,-115.7999,Ptarmigan Inn
327,Jiazi,CN,81.59,overcast clouds,22.8779,116.067,Hotel Jin Hao
328,Moussoro,TD,84.31,few clouds,13.6408,16.4901,Hôtel Salama
330,Portland,US,79.05,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
332,Gizo,SB,81.86,broken clouds,-8.103,156.8419,Imagination Island
334,Anito,PH,77.16,broken clouds,12.4497,125.2886,El Felix Cottages
336,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
344,Muroto,JP,80.49,moderate rain,33.2833,134.15,Oota Ryokan
347,Constantine,DZ,83.61,clear sky,36.365,6.6147,Grand Hotel Cirta
351,Sao Gabriel Da Cachoeira,BR,79.81,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
