City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Bredasdorp,ZA,-34.5322,20.0403,54.45,84,100,2.19,overcast clouds
1,Saskylakh,RU,71.9167,114.0833,43.47,79,100,13.22,overcast clouds
2,Busselton,AU,-33.65,115.3333,50.77,85,0,7.85,clear sky
3,Bara,NG,10.3744,10.7288,75.09,77,100,4.27,overcast clouds
4,Vaini,TO,-21.2,-175.2,75.36,88,75,10.36,broken clouds
5,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,54.19,100,100,4.47,mist
6,Lipki,RU,53.9699,37.7028,52.0,93,43,8.95,scattered clouds
7,Bacesti,RO,46.85,27.2333,63.88,46,91,1.43,overcast clouds
8,Chuy,UY,-33.6971,-53.4616,49.17,80,3,2.86,clear sky
9,Punta Arenas,CL,-53.15,-70.9167,41.11,75,75,29.93,moderate rain
10,Faanui,PF,-16.4833,-151.75,76.73,67,86,8.05,overcast clouds
11,Upernavik,GL,72.7868,-56.1549,43.61,75,100,0.34,overcast clouds
12,Bac Lieu,VN,9.285,105.7244,79.45,87,100,6.96,overcast clouds
13,Adelaide,AU,-34.9333,138.6,48.42,82,75,6.91,broken clouds
14,Hambantota,LK,6.1241,81.1185,78.73,82,50,14.41,scattered clouds
15,Tasiilaq,GL,65.6145,-37.6368,44.76,83,56,2.66,broken clouds
16,Hermanus,ZA,-34.4187,19.2345,53.8,83,100,4.25,overcast clouds
17,Bambous Virieux,MU,-20.3428,57.7575,69.22,70,70,22.82,light rain
18,Albany,US,42.6001,-73.9662,78.26,85,100,1.99,overcast clouds
19,Kununurra,AU,-15.7667,128.7333,55.38,94,7,3.44,clear sky
20,Broome,US,42.2506,-75.833,78.15,82,40,14.97,scattered clouds
21,Deputatskiy,RU,69.3,139.9,42.67,87,100,4.29,light rain
22,Komsomolskiy,UZ,40.4272,71.7189,81.32,26,0,11.5,clear sky
23,Kruisfontein,ZA,-34.0033,24.7314,58.89,91,73,2.1,broken clouds
24,Georgetown,MY,5.4112,100.3354,82.33,89,40,0.0,scattered clouds
25,Grindavik,IS,63.8424,-22.4338,54.07,82,75,5.75,broken clouds
26,Rive-De-Gier,FR,45.5307,4.6213,82.33,40,0,2.51,clear sky
27,Ilulissat,GL,69.2167,-51.1,51.82,62,20,3.44,few clouds
28,Lukovetskiy,RU,64.2956,41.9211,55.63,68,100,3.44,overcast clouds
29,Rikitea,PF,-23.1203,-134.9692,74.79,77,19,12.19,few clouds
30,Slavjanovo,BG,43.4667,24.8667,67.46,41,25,3.4,scattered clouds
31,Wanning,CN,18.8003,110.3967,81.9,91,98,9.33,overcast clouds
32,Cabo San Lucas,MX,22.8909,-109.9124,94.6,62,20,10.36,few clouds
33,Pangody,RU,65.85,74.4859,54.61,67,18,9.17,few clouds
34,Vestmannaeyjar,IS,63.4427,-20.2734,52.2,87,100,18.14,light rain
35,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,92,40,18.41,scattered clouds
36,Luderitz,NA,-26.6481,15.1594,58.24,82,0,11.81,clear sky
37,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,88,20,4.61,few clouds
38,Kavieng,PG,-2.5744,150.7967,82.29,77,100,12.1,overcast clouds
39,Ierapetra,GR,35.01,25.7353,82.15,36,0,17.0,clear sky
